ARG,AUS,BRA,GBR,CAN,CHL,CHN,CZE,DNK,EUR,HKG,HUN,IDN,JPN,MYS,MEX,NZL,POL,RUS,SIN,ZAF,KOR,SWE,CHE,ROC,THA,USA
2.5,1.54,1.65,3.0,1.94,2.45,1.2,1.39,3.08,2.38,1.31,1.21,1.83,2.78,1.19,2.22,1.69,1.28,1.39,1.88,1.34,2.71,2.71,3.48,2.29,1.45,2.51
2.5,1.52,1.64,2.85,2.14,2.1,1.2,1.43,2.93,2.27,1.37,1.32,1.35,2.38,1.19,2.36,1.46,1.46,1.21,1.82,1.19,2.27,2.33,3.65,2.13,1.21,2.54
0.78,1.62,1.55,2.88,2.12,2.16,1.27,1.66,2.96,2.37,1.4,1.69,1.71,2.01,1.33,2.37,1.77,1.46,1.25,1.81,0.87,2.36,2.52,3.81,2.01,1.27,2.49
1.4,1.8,1.44,3.08,2.17,1.95,1.2,1.91,3.99,2.98,1.47,2.14,1.81,2.18,1.33,2.14,2.15,1.56,1.31,1.85,1.74,2.63,3.5,4.52,2.01,1.37,2.71
1.48,2.27,1.7,3.37,2.33,2.18,1.26,2.13,4.46,3.28,1.54,2.52,1.77,2.33,1.33,2.08,2.65,1.63,1.45,1.92,1.86,2.72,3.94,4.9,2.24,1.45,2.9
1.6396272005523,2.4971187091817,2.3937033430704,3.4404,2.6252601248599,2.5318592286269,1.2686675366101,2.2990191883753,4.5756591422494,3.583132,1.5422776870976,2.6025937547571,1.5295966474594,2.3426884692874,1.3815789473684,2.5764895330113,3.1733580546245,1.9639835629683,1.4785868933833,2.1677605828867,2.0983123251406,2.4863252113376,4.1665546625091,5.0501002004008,2.4057738572574,1.480384900074,3.06
1.550362295189,2.4421400661256,2.7415432235242,3.316132,3.0075187969925,2.9842180774749,1.3020671866668,2.6009438909282,4.4925448040279,3.513825,1.5481473836309,2.7058891745105,1.5433403805497,2.187130921657,1.4671361502347,2.6559165283377,3.075965991567,2.0866103816892,1.6044645971399,2.2014309301046,2.2942946894068,2.5576755844289,4.2791011294234,4.9311208515967,2.3474545767539,1.5092441202364,3.15
2.2902012105349,2.4389694791112,2.7771750922109,3.647976,3.1415948949083,2.943673931503,1.3082481933715,2.6710029944183,4.7694753577107,3.766916499074,1.5477280641791,2.7139093670582,1.5656836461126,2.2300521832211,1.5153602424576,2.5656678256408,2.745202065379,2.0973492731878,1.7735901344049,2.2680022680023,2.1145975443383,2.62494750105,4.5301356981557,5.2115647102618,2.3334681559379,1.5606710885681,3.1
2.6709834075273,2.7232578056857,2.9997656433091,3.833731,3.0897561390816,3.0917337776544,1.414918384935,2.4231262048774,4.8235283892892,3.809211,1.5387673191468,3.0346094637639,1.7491749174917,2.3029156557141,1.5705311250714,2.6631403015777,3.221378750105,2.3218642214184,1.8467220683287,2.3407783087877,2.1801047856816,3.0846141573153,4.5446476122848,5.0460552663196,2.2778697362227,1.7563739376771,3.22
2.6686074721009,2.9487179487179,3.6069001568217,4.0071635,3.683136361479,2.9710488846701,1.4464738911463,2.5051203428558,5.082138344047,4.1668899479518,1.5354005796137,3.3294378910009,1.7637271214642,2.2891714017087,1.6013975833455,2.693277486522,3.5945924826131,2.5074041099624,2.0274287719435,2.5922887612797,2.2234973461483,3.1436314363144,4.8589076292212,5.2014531043593,2.2886437497139,1.7994485560877,3.41
3.6429872495446,3.3625730994152,4.7330556607346,4.5704965,4.0755318618903,3.1335287577075,1.8290898448932,4.5578857700571,5.9518748405748,5.342704588,1.7056967707184,4.6444628990599,2.0432692307692,2.62037340321,1.6985793699815,3.1469734965826,3.7186005919405,3.4458145659504,2.5394256593898,2.9199778229532,2.2411000561928,3.1432640832965,6.3749297499518,6.3591449395881,2.4701523260601,1.8585131894484,3.57
3.0173827484421,3.3724454114539,4.0208302037955,3.688274,3.3509928069949,3.1902287849786,1.8294378503373,3.6395690604478,5.5269320843091,4.617119,1.7160183213986,3.6152255222871,2.0490196078431,3.4570301949981,1.8795113825652,2.3895035625326,3.0772129242943,2.408683939466,2.042938294116,2.8815295322636,2.1677434937504,2.586534804108,4.9309976419716,5.9849914828967,2.2607044355021,1.8876042733792,3.57
1.8428326971173,3.9778702391294,4.7583125398944,3.671328,3.9737654320988,3.1802822500497,1.8309116475275,3.7144324150675,5.9938589099081,4.843944,1.9080647968491,3.8574707421559,2.2424892703863,3.4957395674022,2.0811808118081,2.4973173348942,3.6113055975237,2.8564879304569,2.3390249607378,3.1887069614131,2.4573892805805,2.9811486190267,5.5068411911721,6.3036415652427,2.3553427023632,2.112569790252,3.58
3.5589450270099,3.8369175,4.9071804839573,3.483548,4.0005756223917,3.3419268595436,1.9477932387965,3.4252263566206,4.9022558977579,4.3325238265106,1.9037328599727,3.3337966109254,2.5135164956416,3.6705666437256,2.193869612572,2.5035205758097,3.59,2.5962651318465,2.3322082891938,3.0781545626546,2.4480859815564,2.8228652081863,6.5640024140339,6.1854689061236,2.336048340627,2.1668472372698,3.73
4.8396854204477,4.943724,6.1624286455631,3.891637,5.0007929375694,3.9978390059427,2.2730799069046,4.0724008483189,5.4824034087084,4.928401834412,1.9379347519187,4.0409969777596,2.643904728382,4.0834556243221,2.4217961654894,2.7418974787396,4.4115,3.0856693363844,2.7024592379065,3.6535354790605,2.8734570865066,3.503124408256,7.6398535168582,8.0630155678224,2.6010959284178,2.3529411764706,4.065
4.6366060044048,4.93656,5.6786703601108,3.823395,4.6329399089084,4.0509831044363,2.4384450954002,3.4480134149425,5.3741885401827,4.4307047741108,2.1242766194391,2.6252140617861,2.4600436681223,4.1601664066563,2.3410998391489,2.7038087164947,4.047615,2.5848968171683,2.5496312477769,3.751547029703,2.4537538128505,3.19309600863,5.9130635437999,6.805570097372,2.5017095014927,2.4566929133858,4.19722
4.1609635915686,4.680156,4.9359743407683,4.1623715,5.0223159546814,4.1577933272488,2.4497143304375,3.3414101102242,4.6450224916879,4.3444346952179,2.126795692272,3.4842459608984,2.5520696018982,4.0910253132191,2.3318103040807,2.7032950975378,4.00452,2.6297917840681,2.2890104607778,3.4962256654748,2.3558447386134,3.2145960034752,5.7286813514254,6.5616797900262,2.4838138133166,2.5867507886435,4.3275
3.8179443383904,4.900455,5.6437655203552,4.2481825,5.394356366537,4.3455219925808,2.572181853257,3.7221585661777,5.1837503069326,4.8780311269722,2.1909757574976,3.8166297917385,2.8604044023547,3.5139735353868,2.5786571521246,2.9046034038812,4.32458,2.9430789133247,2.4256947911466,3.6441673077702,2.3101580634464,3.4086459844768,6.3880963556024,7.1248492820344,2.5422005287777,2.9238783397748,4.3673958333333
